file_name,skill_name_kr,class_name_kr,class_folder,relative_path,source_character,skill_type,skill_id,icon_url,icon_source_file,collected_at
gl_skill_01_16.png,가디언의 낙뢰,워로드,warlord,warlord/gl_skill_01_16.png,천황무인,0,,https://cdn-lostark.game.onstove.com/efui_iconatlas/gl_skill/gl_skill_01_16.png,gl_skill_01_16.png,2026-06-28T21:24:47+09:00
gl_skill_01_28.png,가디언의 수호,워로드,warlord,warlord/gl_skill_01_28.png,천황무인,100,,https://cdn-lostark.game.onstove.com/efui_iconatlas/gl_skill/gl_skill_01_28.png,gl_skill_01_28.png,2026-06-28T21:24:47+09:00
gl_skill_01_17.png,갈고리 사슬,워로드,warlord,warlord/gl_skill_01_17.png,천황무인,0,,https://cdn-lostark.game.onstove.com/efui_iconatlas/gl_skill/gl_skill_01_17.png,gl_skill_01_17.png,2026-06-28T21:24:47+09:00
gl_skill_01_19.png,날카로운 창,워로드,warlord,warlord/gl_skill_01_19.png,천황무인,0,,https://cdn-lostark.game.onstove.com/efui_iconatlas/gl_skill/gl_skill_01_19.png,gl_skill_01_19.png,2026-06-28T21:24:47+09:00
gl_skill_01_15.png,넬라시아의 기운,워로드,warlord,warlord/gl_skill_01_15.png,천황무인,0,,https://cdn-lostark.game.onstove.com/efui_iconatlas/gl_skill/gl_skill_01_15.png,gl_skill_01_15.png,2026-06-28T21:24:47+09:00
gl_skill_01_8.png,대쉬 어퍼 파이어,워로드,warlord,warlord/gl_skill_01_8.png,천황무인,0,,https://cdn-lostark.game.onstove.com/efui_iconatlas/gl_skill/gl_skill_01_8.png,gl_skill_01_8.png,2026-06-28T21:24:47+09:00
gl_skill_01_20.png,라이징 스피어,워로드,warlord,warlord/gl_skill_01_20.png,천황무인,0,,https://cdn-lostark.game.onstove.com/efui_iconatlas/gl_skill/gl_skill_01_20.png,gl_skill_01_20.png,2026-06-28T21:24:47+09:00
gl_skill_01_5.png,리프 어택,워로드,warlord,warlord/gl_skill_01_5.png,천황무인,0,,https://cdn-lostark.game.onstove.com/efui_iconatlas/gl_skill/gl_skill_01_5.png,gl_skill_01_5.png,2026-06-28T21:24:47+09:00
gl_skill_01_18.png,방패 격동,워로드,warlord,warlord/gl_skill_01_18.png,천황무인,0,,https://cdn-lostark.game.onstove.com/efui_iconatlas/gl_skill/gl_skill_01_18.png,gl_skill_01_18.png,2026-06-28T21:24:47+09:00
gl_skill_01_3.png,방패 돌진,워로드,warlord,warlord/gl_skill_01_3.png,천황무인,0,,https://cdn-lostark.game.onstove.com/efui_iconatlas/gl_skill/gl_skill_01_3.png,gl_skill_01_3.png,2026-06-28T21:24:47+09:00
